
=== 采集时间: 2025-12-16 11:03:18 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-98	2	-58
2	0.0001	-102	6	-55
3	0.0002	-106	6	-49
4	0.0003	-101	13	-42
5	0.0004	-96	9	-54
6	0.0005	-97	10	-58
7	0.0006	-101	6	-54
8	0.0007	-102	5	-53
9	0.0008	-102	9	-53
10	0.0009	-101	5	-54
11	0.0010	-101	15	-54
12	0.0011	-102	13	-53
13	0.0012	-100	11	-50
14	0.0013	-104	13	-51
15	0.0014	-101	13	-50
16	0.0015	-93	19	-58
17	0.0016	-98	19	-55
18	0.0017	-106	7	-45
19	0.0018	-92	15	-53
20	0.0019	-91	14	-59
21	0.0020	-96	14	-50
22	0.0021	-104	14	-45
23	0.0022	-106	19	-42
24	0.0023	-96	20	-51
25	0.0024	-89	14	-54
26	0.0025	-97	11	-58
27	0.0026	-102	19	-46
28	0.0027	-104	19	-42
29	0.0028	-96	14	-47
30	0.0029	-98	10	-54
31	0.0030	-105	9	-50
32	0.0031	-108	15	-49
33	0.0032	-109	14	-45
34	0.0033	-106	9	-47
35	0.0034	-96	9	-58
36	0.0035	-101	7	-57
37	0.0036	-104	9	-46
38	0.0037	-101	13	-51
39	0.0038	-91	13	-55
40	0.0039	-91	3	-62
41	0.0040	-97	2	-59
42	0.0041	-102	9	-47
43	0.0042	-105	9	-45
44	0.0043	-102	6	-49
45	0.0044	-92	9	-59
46	0.0045	-92	13	-66
47	0.0046	-114	13	-50
48	0.0047	-111	19	-38
49	0.0048	-94	19	-46
50	0.0049	-96	11	-53
51	0.0050	-102	3	-47
52	0.0051	-108	13	-44
53	0.0052	-114	10	-45
54	0.0053	-106	9	-47
55	0.0054	-94	13	-54
56	0.0055	-101	15	-50
57	0.0056	-114	13	-38
58	0.0057	-104	16	-45
59	0.0058	-98	18	-54
60	0.0059	-102	9	-54
61	0.0060	-101	11	-58
62	0.0061	-98	11	-54
63	0.0062	-100	9	-46
64	0.0063	-96	18	-44
65	0.0064	-94	14	-55
66	0.0065	-96	9	-59
67	0.0066	-98	10	-62
68	0.0067	-102	14	-57
69	0.0068	-101	16	-50
70	0.0069	-97	10	-49
71	0.0070	-96	3	-54
72	0.0071	-93	6	-53
73	0.0072	-105	18	-47
74	0.0073	-101	23	-49
75	0.0074	-100	13	-51
76	0.0075	-96	10	-50
77	0.0076	-96	13	-51
