
=== 采集时间: 2025-12-05 15:21:53 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	124	86	168
2	0.0001	-174	-66	142
3	0.0002	182	109	-224
4	0.0003	-19	80	-3
5	0.0004	-75	67	500
6	0.0005	249	-78	-413
7	0.0006	36	128	290
8	0.0007	281	84	-513
9	0.0008	-365	-311	637
10	0.0009	-108	103	-477
11	0.0010	60	-144	35
12	0.0011	-186	258	348
13	0.0012	5	-101	-101
14	0.0013	174	210	172
15	0.0014	-279	-100	117
16	0.0015	95	-63	-55
17	0.0016	-4	167	-162
18	0.0017	-64	33	310
19	0.0018	186	112	-268
20	0.0019	97	-106	163
21	0.0020	-178	67	273
22	0.0021	-20	-11	-94
23	0.0022	357	61	-448
24	0.0023	-111	-172	206
25	0.0024	-145	75	284
26	0.0025	57	87	-362
27	0.0026	159	-213	-165
28	0.0027	-232	-31	388
29	0.0028	69	295	241
30	0.0029	35	445	166
31	0.0030	28	-93	26
32	0.0031	-251	-143	41
33	0.0032	238	130	-122
34	0.0033	270	-98	-278
35	0.0034	144	322	262
36	0.0035	-216	-36	350
37	0.0036	-111	-3	-64
38	0.0037	232	16	-466
39	0.0038	-179	-74	290
40	0.0039	9	239	290
41	0.0040	133	161	148
42	0.0041	27	31	-57
43	0.0042	143	-212	-222
44	0.0043	-15	-53	-12
45	0.0044	19	214	23
46	0.0045	-36	-44	-85
47	0.0046	208	44	-50
48	0.0047	-217	11	136
49	0.0048	86	159	240
50	0.0049	-31	111	-15
51	0.0050	92	-162	-92
52	0.0051	18	108	73
53	0.0052	-66	-12	-50
54	0.0053	16	-3	-190
55	0.0054	49	-96	126
56	0.0055	-153	70	129
57	0.0056	374	135	-188
58	0.0057	6	14	206
59	0.0058	-379	-220	136
60	0.0059	127	214	-89
61	0.0060	-80	-196	-312
62	0.0061	-139	355	817
63	0.0062	-183	92	61
64	0.0063	524	33	-509
65	0.0064	-222	7	371
66	0.0065	-68	-430	-57
67	0.0066	266	445	-595
68	0.0067	27	-44	440
69	0.0068	-235	65	50
70	0.0069	344	-110	-263
71	0.0070	-170	53	190
72	0.0071	-106	-104	211
73	0.0072	193	301	-162
74	0.0073	-54	2	143
75	0.0074	62	-66	-93
76	0.0075	-61	139	456
77	0.0076	-222	176	152
78	0.0077	319	131	-414
79	0.0078	9	65	298
80	0.0079	-400	-20	240
81	0.0080	124	-7	-154
82	0.0081	116	92	-118
83	0.0082	14	-84	66
84	0.0083	18	-38	30
85	0.0084	78	155	-45
86	0.0085	-55	-4	255
87	0.0086	-229	-4	-29
88	0.0087	485	-37	-477
89	0.0088	-264	-283	7
90	0.0089	419	169	-214
91	0.0090	-233	-61	306
92	0.0091	-23	-110	-220
93	0.0092	71	77	-72
94	0.0093	-147	-16	290
95	0.0094	-226	28	52
96	0.0095	249	31	53
97	0.0096	-246	223	507
98	0.0097	266	-37	-411
99	0.0098	319	-138	-591
100	0.0099	-58	-12	391

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	381	-786	-853
2	0.001	756	774	-833
3	0.002	961	-142	111
4	0.003	812	-483	272
5	0.004	-917	-2726	1682
6	0.005	-1755	-1724	1431
7	0.006	-2337	812	542
8	0.007	-128	9	-1683
9	0.008	-680	589	-69
10	0.009	-373	7	155
================================================================================

=== 采集时间: 2025-12-05 15:21:54 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	58	-46	31
2	0.0001	65	253	207
3	0.0002	-153	48	-37
4	0.0003	361	-151	-304
5	0.0004	-182	14	18
6	0.0005	-54	10	293
7	0.0006	287	133	-276
8	0.0007	35	-217	-169
9	0.0008	-130	52	318
10	0.0009	-215	219	58
11	0.0010	211	-88	-235
12	0.0011	32	84	216
13	0.0012	-63	-174	212
14	0.0013	113	202	-179
15	0.0014	-113	-136	-134
16	0.0015	1	-20	135
17	0.0016	154	80	-225
18	0.0017	281	-157	-243
19	0.0018	-200	327	841
20	0.0019	-263	-246	-183
21	0.0020	338	124	-599
22	0.0021	-83	-70	272
23	0.0022	-117	-195	100
24	0.0023	412	322	-140
25	0.0024	-58	43	247
26	0.0025	-259	-51	219
27	0.0026	-41	-24	-144
28	0.0027	33	129	-100
29	0.0028	-6	31	159
30	0.0029	108	14	-64
31	0.0030	91	44	91
32	0.0031	-78	-76	73
33	0.0032	-16	35	-153
34	0.0033	157	-7	-75
35	0.0034	-126	-42	65
36	0.0035	113	-16	-33
37	0.0036	-72	159	103
38	0.0037	6	-29	-62
39	0.0038	151	-80	-106
40	0.0039	137	-4	-59
41	0.0040	-114	-149	2
