
=== 采集时间: 2025-12-05 15:24:18 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-7	-8	14
2	0.0001	-4	13	2
3	0.0002	-2	13	-4
4	0.0003	0	5	1
5	0.0004	-12	-7	0
6	0.0005	-6	3	22
7	0.0006	1	16	7
8	0.0007	0	10	-14
9	0.0008	1	6	-3
10	0.0009	-14	-7	-4
11	0.0010	-14	6	18
12	0.0011	-6	16	7
13	0.0012	2	13	-4
14	0.0013	5	5	6
15	0.0014	-8	-8	1
16	0.0015	-6	-2	13
17	0.0016	-8	2	7
18	0.0017	-6	-2	-8
19	0.0018	2	0	3
20	0.0019	-12	-8	-2
21	0.0020	-8	0	15
22	0.0021	-12	7	3
23	0.0022	-12	2	-10
24	0.0023	2	7	0
25	0.0024	-6	-10	1
26	0.0025	-4	2	15
27	0.0026	0	14	11
28	0.0027	-7	19	3
29	0.0028	2	14	3
30	0.0029	-12	1	-2
31	0.0030	-11	-6	16
32	0.0031	-4	13	15
33	0.0032	6	26	10
34	0.0033	13	20	6
35	0.0034	1	-4	-3
36	0.0035	-4	-7	2
37	0.0036	-10	5	10
38	0.0037	-6	24	6
39	0.0038	6	16	6
40	0.0039	-17	-17	-7
41	0.0040	-10	-7	6
42	0.0041	-15	2	3
43	0.0042	9	27	0
44	0.0043	11	10	6
45	0.0044	-16	-24	-4
46	0.0045	-12	-7	10
47	0.0046	-23	11	2
48	0.0047	-2	26	9
49	0.0048	9	14	5
50	0.0049	-7	-14	-10
51	0.0050	-8	14	16
52	0.0051	-11	3	1
53	0.0052	-14	-3	-12
54	0.0053	6	1	-3
55	0.0054	-6	-3	2
56	0.0055	0	16	19
57	0.0056	-6	10	10
58	0.0057	-3	3	-6
59	0.0058	9	13	2
60	0.0059	-10	1	0
61	0.0060	-10	9	16
62	0.0061	-14	3	7
63	0.0062	-4	13	-6
64	0.0063	3	23	9
65	0.0064	-2	0	11
66	0.0065	-3	9	10
67	0.0066	-7	9	2
68	0.0067	-6	5	-8
69	0.0068	5	16	2
70	0.0069	-14	-4	6
71	0.0070	-11	6	20
72	0.0071	-7	9	3
73	0.0072	-4	6	-8
74	0.0073	1	5	1
75	0.0074	-12	-8	7
76	0.0075	-3	5	20
77	0.0076	-6	9	0
78	0.0077	-10	3	-14
79	0.0078	-2	2	1
80	0.0079	-17	-3	7
81	0.0080	-6	15	13
82	0.0081	-3	7	0
83	0.0082	-3	5	-4
84	0.0083	11	11	11
85	0.0084	-6	11	7
86	0.0085	2	37	36
87	0.0086	-2	20	7
88	0.0087	-7	-3	-14
89	0.0088	1	3	2
90	0.0089	-8	2	9
91	0.0090	5	26	27
92	0.0091	10	15	7
93	0.0092	-6	-20	-11
94	0.0093	5	-2	7
95	0.0094	-15	6	5
96	0.0095	-7	11	24
97	0.0096	1	7	2
98	0.0097	-8	-17	-14
99	0.0098	9	15	6
100	0.0099	-2	10	11

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	10	1983	-2
2	0.001	5	-94	6
3	0.002	-31	-653	-6
4	0.003	6	4	-5
5	0.004	32	2828	6
6	0.005	-22	1550	-7
7	0.006	-14	1350	10
8	0.007	52	2739	1
9	0.008	14	892	0
10	0.009	27	348	-5
================================================================================

=== 采集时间: 2025-12-05 15:24:19 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-7	10	13
2	0.0001	-3	9	6
3	0.0002	2	9	-8
4	0.0003	15	6	9
5	0.0004	-6	5	5
6	0.0005	-2	11	16
7	0.0006	-10	10	5
8	0.0007	-8	3	-8
9	0.0008	-2	11	3
10	0.0009	-12	0	5
11	0.0010	-7	10	16
12	0.0011	-7	7	2
13	0.0012	0	14	-3
14	0.0013	5	11	2
15	0.0014	-4	-3	5
16	0.0015	-12	1	15
17	0.0016	-8	6	3
18	0.0017	-2	7	-6
19	0.0018	9	13	9
20	0.0019	-11	-14	3
21	0.0020	-7	-2	16
22	0.0021	0	11	9
23	0.0022	1	13	-6
24	0.0023	10	14	3
25	0.0024	-19	-11	5
26	0.0025	-2	7	11
27	0.0026	0	23	5
28	0.0027	7	13	3
29	0.0028	9	11	6
30	0.0029	-8	-4	1
31	0.0030	0	23	23
32	0.0031	0	28	16
33	0.0032	2	14	-2
34	0.0033	3	3	9
35	0.0034	-11	-10	2
36	0.0035	0	14	22
37	0.0036	-6	19	9
38	0.0037	2	0	-14
39	0.0038	-4	-7	-3
40	0.0039	-15	-19	2
41	0.0040	-10	10	13
42	0.0041	-6	9	1
43	0.0042	-6	-10	-14
44	0.0043	-3	-10	-6
45	0.0044	-7	0	6
46	0.0045	-6	14	18
47	0.0046	-12	2	1
48	0.0047	-11	-8	-14
49	0.0048	-7	-4	-3
50	0.0049	-6	15	13
51	0.0050	-12	-2	10
52	0.0051	-8	3	1
53	0.0052	-3	7	-3
54	0.0053	10	9	5
55	0.0054	-8	-17	0
56	0.0055	-4	-3	13
57	0.0056	-10	10	11
58	0.0057	-7	10	2
59	0.0058	7	13	1
60	0.0059	-17	-14	-7
61	0.0060	-6	6	11
62	0.0061	-3	22	7
63	0.0062	3	19	2
64	0.0063	11	13	10
65	0.0064	-14	-16	-4
66	0.0065	-7	16	13
67	0.0066	-8	19	2
68	0.0067	-7	9	-6
69	0.0068	14	9	5
70	0.0069	-3	-11	-3
71	0.0070	-2	6	15
72	0.0071	-11	6	6
73	0.0072	-12	3	-14
74	0.0073	6	7	-4
75	0.0074	-11	-17	-4
76	0.0075	-6	-2	11
77	0.0076	-16	3	5
78	0.0077	-11	3	-8
79	0.0078	0	-2	-4
80	0.0079	-10	-11	-2
81	0.0080	-15	-2	11
82	0.0081	-20	6	0
83	0.0082	-10	1	-11
84	0.0083	5	13	-3
85	0.0084	-8	-7	7
86	0.0085	-12	10	19
87	0.0086	-15	13	3
88	0.0087	-11	11	-11
89	0.0088	9	14	-4
90	0.0089	-14	-14	-2
91	0.0090	-14	-2	22
92	0.0091	-10	6	2
93	0.0092	-2	5	-8
94	0.0093	16	6	1
95	0.0094	-10	-17	-4
96	0.0095	-8	5	18
97	0.0096	-10	6	10
98	0.0097	-4	3	-8
99	0.0098	10	7	-4
