
=== 采集时间: 2025-12-05 15:10:48 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	2	10	26
2	0.0001	2	19	23
3	0.0002	9	19	14
4	0.0003	10	22	11
5	0.0004	24	30	32
6	0.0005	2	3	18
7	0.0006	1	15	19
8	0.0007	3	14	13
9	0.0008	10	28	9
10	0.0009	16	24	26
11	0.0010	-3	-3	20
12	0.0011	5	2	18
13	0.0012	10	16	15
14	0.0013	15	20	9
15	0.0014	23	19	22
16	0.0015	3	6	28
17	0.0016	1	13	26
18	0.0017	6	26	18
19	0.0018	10	23	11
20	0.0019	15	19	24
21	0.0020	7	5	20
22	0.0021	20	27	33
23	0.0022	19	26	22
24	0.0023	9	19	6
25	0.0024	13	15	18
26	0.0025	-4	2	16
27	0.0026	9	28	32
28	0.0027	14	26	19
29	0.0028	11	10	1
30	0.0029	22	16	24
31	0.0030	5	1	19
32	0.0031	14	24	26
33	0.0032	14	22	11
34	0.0033	5	9	5
35	0.0034	19	23	28
36	0.0035	7	11	24
37	0.0036	18	26	23
38	0.0037	18	22	9
39	0.0038	13	14	5
40	0.0039	15	18	22
41	0.0040	3	14	24
42	0.0041	6	26	32
43	0.0042	5	20	20
44	0.0043	9	11	7
45	0.0044	16	19	19
46	0.0045	5	15	27
47	0.0046	15	33	31
48	0.0047	11	14	16
49	0.0048	10	9	10
50	0.0049	9	16	18
51	0.0050	7	19	28
52	0.0051	1	19	26
53	0.0052	11	14	11
54	0.0053	6	13	2
55	0.0054	16	14	24
56	0.0055	1	9	19
57	0.0056	5	23	22
58	0.0057	14	16	15
59	0.0058	13	11	1
60	0.0059	18	16	26
61	0.0060	14	9	26
62	0.0061	5	10	28
63	0.0062	9	16	18
64	0.0063	16	27	9
65	0.0064	18	23	23
66	0.0065	-6	-4	15
67	0.0066	-4	9	23
68	0.0067	5	18	26
69	0.0068	15	19	5
70	0.0069	30	14	16
71	0.0070	-3	-6	9
72	0.0071	7	22	27
73	0.0072	5	32	22
74	0.0073	7	24	5
75	0.0074	10	9	15
76	0.0075	-8	-12	13
77	0.0076	11	30	27
78	0.0077	13	33	14
79	0.0078	13	14	1
80	0.0079	11	1	14
81	0.0080	-8	-2	19
82	0.0081	5	30	24
83	0.0082	1	19	16
84	0.0083	2	13	5
85	0.0084	10	-6	10
86	0.0085	5	-2	20
87	0.0086	14	19	31
88	0.0087	9	13	11
89	0.0088	0	-2	-3
90	0.0089	1	0	23
91	0.0090	-3	2	20
92	0.0091	7	30	30
93	0.0092	7	14	14
94	0.0093	9	5	0
95	0.0094	24	15	16
96	0.0095	7	13	26
97	0.0096	5	32	28
98	0.0097	2	16	9
99	0.0098	-2	13	2
100	0.0099	13	19	30

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	-7	849	15
2	0.001	-4	-31	-8
3	0.002	2	-1091	12
4	0.003	7	-2968	-20
5	0.004	57	-723	11
6	0.005	12	-3037	-6
7	0.006	5	-380	2
8	0.007	-11	-337	2
9	0.008	33	398	18
10	0.009	-15	-1143	-11
================================================================================

=== 采集时间: 2025-12-05 15:10:48 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	6	16	31
2	0.0001	19	33	32
3	0.0002	23	30	26
4	0.0003	14	15	9
5	0.0004	15	18	30
6	0.0005	1	15	30
